Prov 1:1 [מִשְׁלֵי] [שְׁלֹמֹה] [בֶן] [דָּוִד] king [יִשְׂרָאֵל] | [KJV:] The proverbs of Solomon the son of David, king of Israel;
Prov 8:27 [בַּהֲכִינוֹ] [שָׁמַיִם] [שָׁם] [אָנִי] [בְּחוּקוֹ] [חוּג] upon [ְּנֵי] [the] deep | [KJV:] When he prepared the heavens, I was there: when he set a compass upon the face of the depth:
Prov 8:28 [בְּאַמְּצוֹ] [שְׁחָקִים] [מִמָּעַל] [בַּעֲזוֹז] [עִינוֹת] [תְּהוֹם] | [KJV:] When he established the clouds above: when he strengthened the fountains of the deep:
Prov 8:29 [בְּשׂוּמוֹ] [לַיָּם] [חֻקּוֹ] [וּמַיִם] not [יַעַבְרוּ] [ִיו] [בְּחוּקוֹ] [מוְֹדֵי] earth | [KJV:] When he gave to the sea his decree, that the waters should not pass his commandment: when he appointed the foundations of the earth:
Prov 8:30 [וָאֶהְיֶה] [אֶצְלוֹ] [אָמוֹן] [וָאֶהְיֶה] [שַׁעֲשֻׁעִים] day day [מְשַׂחֶקֶת] [לְָנָיו] [בְּכָל] [עֵת] | [KJV:] Then I was by him, as one brought up with him: and I was daily his delight, rejoicing always before him;
Prov 8:31 [מְשַׂחֶקֶת] [בְּתֵבֵל] [אַרְצוֹ] [וְשַׁעֲשֻׁעַי] [with] [בְּנֵי] man/mankind | [KJV:] Rejoicing in the habitable part of his earth; and my delights were with the sons of men.
Prov 8:32 [וְעַתָּה] [בָנִים] [שִׁמְעוּ] to me [וְאַשְׁרֵי] [דְּרָכַי] [יִשְׁמֹרוּ] | [KJV:] Now therefore hearken unto me, O ye children: for blessed are they that keep my ways.
Prov 8:33 [שִׁמְעוּ] [מוָּר] [וַחֲכָמוּ] [וְאַל] [תְִּרָעוּ] | [KJV:] Hear instruction, and be wise, and refuse it not.
Prov 8:34 [אַשְׁרֵי] man/mankind [שֹׁמֵעַ] to me [לִשְׁקֹד] upon [דַּלְתֹתַי] day day [לִשְׁמֹר] [מְזוּזֹת] [ְּתָחָי]
Prov 8:35 [כִּי] [מֹצְאִי] [מֹצְאֵי] [חַיִּים] [וַיֶָּק] [רָצוֹן] [מֵיְהוָה] | [KJV:] For whoso findeth me findeth life, and shall obtain favour of the Lord.
Prov 8:36 [וְחֹטְאִי] [חֹמֵ] [נְַשׁוֹ] [כָּל] [מְשַׂנְאַי] [אָהֲבוּ] [מָוֶת] | [KJV:] But he that sinneth against me wrongeth his own soul: all they that hate me love death.
Prov 9:1 [חָכְמוֹת] [בָּנְתָה] [בֵיתָהּ] [חָצְבָה] [עַמּוּדֶיהָ] [שִׁבְעָה] | [KJV:] Wisdom hath builded her house, she hath hewn out her seven pillars:
Prov 9:2 [טָבְחָה] [טִבְחָהּ] [מְָכָה] [יֵינָהּ] [אַף] [עָרְכָה] [שֻׁלְחָנָהּ] | [KJV:] She hath killed her beasts; she hath mingled her wine; she hath also furnished her table.
Prov 9:3 [שָׁלְחָה] [נַעֲרֹתֶיהָ] [תִקְרָא] upon [גֵַּּי] [מְרֹמֵי] [קָרֶת] | [KJV:] She hath sent forth her maidens: she crieth upon the highest places of the city,
Prov 9:4 who [ֶתִי] [יָֻר] [הֵנָּה] [חֲַר] heart [אָמְרָה] [לּוֹ] | [KJV:] Whoso is simple, let him turn in hither: as for him that wanteth understanding, she saith to him,
Prov 9:5 [לְכוּ] [לַחֲמוּ] [בְלַחֲמִי] [וּשְׁתוּ] [בְּיַיִן] [מָָכְתִּי] | [KJV:] Come, eat of my bread, and drink of the wine which I have mingled.
Prov 9:6 [עִזְבוּ] [ְתָאיִם] [וִחְיוּ] [וְאִשְׁרוּ] [בְּדֶרֶךְ] [בִּינָה] | [KJV:] Forsake the foolish, and live; and go in the way of understanding.
Prov 9:7 [יֵֹר] [לֵץ] [לֹקֵחַ] to him [קָלוֹן] [וּמוֹכִיחַ] [לְרָשָׁע] [מוּמוֹ] | [KJV:] He that reproveth a scorner getteth to himself shame: and he that rebuketh a wicked man getteth himself a blot.
Prov 9:8 not [imperative] [תּוֹכַח] [לֵץ] [ֶּן] [יִשְׂנָאֶךָּ] [הוֹכַח] [לְחָכָם] [וְיֶאֱהָבֶךָּ] | [KJV:] Reprove not a scorner, lest he hate thee: rebuke a wise man, and he will love thee.
Prov 9:9 [תֵּן] [לְחָכָם] [וְיֶחְכַּם] still/yet [הוֹדַע] [לְצַדִּיק] [וְיוֶֹף] [לֶקַח] | [KJV:] Give instruction to a wise man, and he will be yet wiser: teach a just man, and he will increase in learning.
Prov 9:10 [תְּחִלַּת] [חָכְמָה] [יִרְאַת] YHWH/[the] LORD [וְדַעַת] [קְדֹשִׁים] [בִּינָה] | [KJV:] The fear of the Lord is the beginning of wisdom: and the knowledge of the holy is understanding.
Prov 9:11 [כִּי] [בִי] [יִרְבּוּ] [יָמֶיךָ] [וְיוִֹיוּ] [לְּךָ] [שְׁנוֹת] [חַיִּים] | [KJV:] For by me thy days shall be multiplied, and the years of thy life shall be increased.
Prov 9:12 if [חָכַמְתָּ] [חָכַמְתָּ] [לָּךְ] [וְלַצְתָּ] [לְבַדְּךָ] [תִשָּׂא] | [KJV:] If thou be wise, thou shalt be wise for thyself: but if thou scornest, thou alone shalt bear it.
Prov 9:13 [אֵשֶׁת] [כְִּילוּת] [הֹמִיָּה] [ְּתַיּוּת] [וּבַל] [יָדְעָה] [מָּה] | [KJV:] A foolish woman is clamorous: she is simple, and knoweth nothing.
Prov 9:14 [וְיָשְׁבָה] [לְֶתַח] [בֵּיתָהּ] upon [כִֵּּא] [מְרֹמֵי] [קָרֶת] | [KJV:] For she sitteth at the door of her house, on a seat in the high places of the city,
Prov 9:15 [לִקְרֹא] [לְעֹבְרֵי] [דָרֶךְ] [הַמְיַשְּׁרִים] [אֹרְחוֹתָם] | [KJV:] To call passengers who go right on their ways:
Prov 9:16 who [ֶתִי] [יָֻר] [הֵנָּה] [וַחֲַר] heart [וְאָמְרָה] [לּוֹ] | [KJV:] Whoso is simple, let him turn in hither: and as for him that wanteth understanding, she saith to him,
Prov 9:17 water(s) [גְּנוּבִים] [יִמְתָּקוּ] [וְלֶחֶם] [ְתָרִים] [יִנְעָם] | [KJV:] Stolen waters are sweet, and bread eaten in secret is pleasant.
Prov 9:18 and not [he] knew [כִּי] [רְָאִים] [שָׁם] [בְּעִמְקֵי] [שְׁאוֹל] [קְרֻאֶיהָ] | [KJV:] But he knoweth not that the dead are there; and that her guests are in the depths of hell.
Prov 10:1 [מִשְׁלֵי] [שְׁלֹמֹה] [בֵּן] wise [יְשַׂמַּח] father [וּבֵן] [כְִּיל] [תּוּגַת] [אִמּוֹ] | [KJV:] The proverbs of Solomon. A wise son maketh a glad father: but a foolish son is the heaviness of his mother.
Prov 10:2 not [יוֹעִילוּ] [אוֹצְרוֹת] [רֶשַׁע] [וּצְדָקָה] [תַּצִּיל] [מִמָּוֶת] | [KJV:] Treasures of wickedness profit nothing: but righteousness delivereth from death.
Prov 10:3 not [יַרְעִיב] YHWH/[the] LORD [נֶֶשׁ] [צַדִּיק] [וְהַוַּת] [רְשָׁעִים] [יֶהְדֹּף] | [KJV:] The Lord will not suffer the soul of the righteous to famish: but he casteth away the substance of the wicked.
Prov 10:4 [רָאשׁ] [עֹשֶׂה] [כַף] [רְמִיָּה] [וְיַד] [חָרוּצִים] [תַּעֲשִׁיר] | [KJV:] He becometh poor that dealeth with a slack hand: but the hand of the diligent maketh rich.
Prov 10:5 [אֹגֵר] [בַּקַּיִץ] [בֵּן] [מַשְׂכִּיל] [נִרְדָּם] [בַּקָּצִיר] [בֵּן] [מֵבִישׁ] | [KJV:] He that gathereth in summer is a wise son: but he that sleepeth in harvest is a son that causeth shame.
Prov 10:6 [בְּרָכוֹת] [לְרֹאשׁ] [צַדִּיק] [וִּי] [רְשָׁעִים] [יְכֶַּה] [חָמָ] | [KJV:] Blessings are upon the head of the just: but violence covereth the mouth of the wicked.
Prov 10:7 [זֵכֶר] [צַדִּיק] [לִבְרָכָה] [וְשֵׁם] [רְשָׁעִים] [יִרְקָב] | [KJV:] The memory of the just is blessed: but the name of the wicked shall rot.
Prov 10:8 [חֲכַם] heart [יִקַּח] [מִצְוֹת] [וֶאֱוִיל] [שְָׂתַיִם] [יִלָּבֵט] | [KJV:] The wise in heart will receive commandments: but a prating fool shall fall.
Prov 10:9 [הוֹלֵךְ] [בַּתֹּם] [יֵלֶךְ] [בֶּטַח] [וּמְעַקֵּשׁ] [דְּרָכָיו] [יִוָּדֵעַ] | [KJV:] He that walketh uprightly walketh surely: but he that perverteth his ways shall be known.
Prov 10:10 [קֹרֵץ] [עַיִן] [יִתֵּן] [עַצָּבֶת] [וֶאֱוִיל] [שְָׂתַיִם] [יִלָּבֵט] | [KJV:] He that winketh with the eye causeth sorrow: but a prating fool shall fall.
Prov 10:11 [מְקוֹר] [חַיִּים] [ִּי] [צַדִּיק] [וִּי] [רְשָׁעִים] [יְכֶַּה] [חָמָ] | [KJV:] The mouth of a righteous man is a well of life: but violence covereth the mouth of the wicked.
Prov 10:12 [שִׂנְאָה] [תְּעוֹרֵר] [מְדָנִים] and upon [כָּל] [ְּשָׁעִים] [תְּכֶַּה] [אַהֲבָה] | [KJV:] Hatred stirreth up strifes: but love covereth all sins.
Prov 10:13 [בְּשְִׂתֵי] [נָבוֹן] [תִּמָּצֵא] [חָכְמָה] [וְשֵׁבֶט] [לְגֵו] [חֲַר] heart | [KJV:] In the lips of him that hath understanding wisdom is found: but a rod is for the back of him that is void of understanding.
Prov 10:14 [חֲכָמִים] [יִצְְּנוּ] [דָעַת] [וִּי] [אֱוִיל] [מְחִתָּה] [קְרֹבָה] | [KJV:] Wise men lay up knowledge: but the mouth of the foolish is near destruction.
Prov 10:15 [הוֹן] [עָשִׁיר] Kiriath [עֻזּוֹ] [מְחִתַּת] [דַּלִּים] [רֵישָׁם] | [KJV:] The rich man's wealth is his strong city: the destruction of the poor is their poverty.
Prov 10:16 [ְּעֻלַּת] [צַדִּיק] [לְחַיִּים] [תְּבוּאַת] [רָשָׁע] [לְחַטָּאת] | [KJV:] The labour of the righteous tendeth to life: the fruit of the wicked to sin.
Prov 10:17 [אֹרַח] [לְחַיִּים] [שׁוֹמֵר] [מוָּר] [וְעוֹזֵב] [תּוֹכַחַת] [מַתְעֶה] | [KJV:] He is in the way of life that keepeth instruction: but he that refuseth reproof erreth.
Prov 10:18 [מְכֶַּה] [שִׂנְאָה] [שְִׂתֵי] [שָׁקֶר] [וּמוֹצִא] [דִבָּה] he [כְִיל] | [KJV:] He that hideth hatred with lying lips, and he that uttereth a slander, is a fool.
Prov 10:19 [בְּרֹב] [דְּבָרִים] not [יֶחְדַּל] [ָּשַׁע] [וְחֹשֵׂךְ] [שְָׂתָיו] [מַשְׂכִּיל] | [KJV:] In the multitude of words there wanteth not sin: but he that refraineth his lips is wise.
Prov 10:20 [כֶֶּף] [נִבְחָר] [לְשׁוֹן] [צַדִּיק] heart [רְשָׁעִים] [כִּמְעָט] | [KJV:] The tongue of the just is as choice silver: the heart of the wicked is little worth.
Prov 10:21 [שְִׂתֵי] [צַדִּיק] [יִרְעוּ] [רַבִּים] [וֶאֱוִילִים] [בַּחֲַר] heart [יָמוּתוּ] | [KJV:] The lips of the righteous feed many: but fools die for want of wisdom.
Prov 10:22 [בִּרְכַּת] YHWH/[the] LORD she [תַעֲשִׁיר] and not [יוִֹף] [עֶצֶב] [עִמָּהּ]
Prov 10:23 [כִּשְׂחוֹק] [לִכְִיל] [עֲשׂוֹת] [זִמָּה] [וְחָכְמָה] [לְאִישׁ] [תְּבוּנָה] | [KJV:] It is as sport to a fool to do mischief: but a man of understanding hath wisdom.
Prov 10:24 [מְגוֹרַת] [רָשָׁע] she [תְבוֹאֶנּוּ] [וְתַאֲוַת] [צַדִּיקִים] [יִתֵּן] | [KJV:] The fear of the wicked, it shall come upon him: but the desire of the righteous shall be granted.
Prov 10:25 [כַּעֲבוֹר] [וָּה] [וְאֵין] [רָשָׁע] [וְצַדִּיק] [יְוֹד] eternity/forever | [KJV:] As the whirlwind passeth, so is the wicked no more: but the righteous is an everlasting foundation.
Prov 10:26 [כַּחֹמֶץ] [לַשִּׁנַּיִם] [וְכֶעָשָׁן] [לָעֵינָיִם] [כֵּן] [הֶעָצֵל] [לְשֹׁלְחָיו] | [KJV:] As vinegar to the teeth, and as smoke to the eyes, so is the sluggard to them that send him.
Prov 10:27 [יִרְאַת] YHWH/[the] LORD [תּוִֹיף] days [וּשְׁנוֹת] [רְשָׁעִים] [תִּקְצֹרְנָה] | [KJV:] The fear of the Lord prolongeth days: but the years of the wicked shall be shortened.
Prov 10:28 [תּוֹחֶלֶת] [צַדִּיקִים] [שִׂמְחָה] [וְתִקְוַת] [רְשָׁעִים] [תֹּאבֵד] | [KJV:] The hope of the righteous shall be gladness: but the expectation of the wicked shall perish.
Prov 10:29 [מָעוֹז] [לַתֹּם] [דֶּרֶךְ] YHWH/[the] LORD [וּמְחִתָּה] [לְֹעֲלֵי] [אָוֶן] | [KJV:] The way of the Lord is strength to the upright: but destruction shall be to the workers of iniquity.
Prov 10:30 [צַדִּיק] forever [בַּל] [יִמּוֹט] [וּרְשָׁעִים] not [יִשְׁכְּנוּ] earth | [KJV:] The righteous shall never be removed: but the wicked shall not inhabit the earth.
Prov 10:31 [ִּי] [צַדִּיק] [יָנוּב] [חָכְמָה] [וּלְשׁוֹן] [תַּהְֻּכוֹת] [תִּכָּרֵת] | [KJV:] The mouth of the just bringeth forth wisdom: but the froward tongue shall be cut out.
Prov 10:32 [שְִׂתֵי] [צַדִּיק] [יֵדְעוּן] [רָצוֹן] [וִּי] [רְשָׁעִים] [תַּהְֻּכוֹת] | [KJV:] The lips of the righteous know what is acceptable: but the mouth of the wicked speaketh frowardness.
Prov 11:1 [מֹאזְנֵי] [מִרְמָה] [תּוֹעֲבַת] YHWH/[the] LORD [וְאֶבֶן] [שְׁלֵמָה] [רְצוֹנוֹ] | [KJV:] A false balance is abomination to the Lord: but a just weight is his delight.
Prov 11:2 [בָּא] [זָדוֹן] [וַיָּבֹא] [קָלוֹן] and [with/acc] [צְנוּעִים] [חָכְמָה] | [KJV:] When pride cometh, then cometh shame: but with the lowly is wisdom.
Prov 11:3 [תֻּמַּת] [יְשָׁרִים] [תַּנְחֵם] [וְֶלֶף] [בּוֹגְדִים] [וְשַׁדָּם] | [KJV:] The integrity of the upright shall guide them: but the perverseness of transgressors shall destroy them.
Prov 11:4 not [יוֹעִיל] [הוֹן] [בְּיוֹם] [עֶבְרָה] [וּצְדָקָה] [תַּצִּיל] [מִמָּוֶת] | [KJV:] Riches profit not in the day of wrath: but righteousness delivereth from death.
Prov 11:5 [צִדְקַת] [תָּמִים] [תְּיַשֵּׁר] [דַּרְכּוֹ] [וּבְרִשְׁעָתוֹ] [יִֹּל] [רָשָׁע] | [KJV:] The righteousness of the perfect shall direct his way: but the wicked shall fall by his own wickedness.
Prov 11:6 [צִדְקַת] [יְשָׁרִים] [תַּצִּילֵם] [וּבְהַוַּת] [בֹּגְדִים] [יִלָּכֵדוּ] | [KJV:] The righteousness of the upright shall deliver them: but transgressors shall be taken in their own naughtiness.
Prov 11:7 [בְּמוֹת] man/mankind [רָשָׁע] [תֹּאבַד] [תִּקְוָה] [וְתוֹחֶלֶת] [אוֹנִים] [אָבָדָה] | [KJV:] When a wicked man dieth, his expectation shall perish: and the hope of unjust men perisheth.
Prov 11:8 [צַדִּיק] [מִצָּרָה] [נֶחֱלָץ] [וַיָּבֹא] [רָשָׁע] [תַּחְתָּיו] | [KJV:] The righteous is delivered out of trouble, and the wicked cometh in his stead.
Prov 11:9 [בְֶּה] [חָנֵף] [יַשְׁחִת] [רֵעֵהוּ] [וּבְדַעַת] [צַדִּיקִים] [יֵחָלֵצוּ] | [KJV:] An hypocrite with his mouth destroyeth his neighbour: but through knowledge shall the just be delivered.
Prov 11:10 [בְּטוּב] [צַדִּיקִים] [תַּעֲלֹץ] [קִרְיָה] [וּבַאֲבֹד] [רְשָׁעִים] [רִנָּה] | [KJV:] When it goeth well with the righteous, the city rejoiceth: and when the wicked perish, there is shouting.
Prov 11:11 [בְּבִרְכַּת] [יְשָׁרִים] [תָּרוּם] [קָרֶת] [וּבְִי] [רְשָׁעִים] [תֵּהָרֵ] | [KJV:] By the blessing of the upright the city is exalted: but it is overthrown by the mouth of the wicked.
Prov 11:12 [בָּז] [לְרֵעֵהוּ] [חֲַר] heart and a man [תְּבוּנוֹת] [יַחֲרִישׁ] | [KJV:] He that is void of wisdom despiseth his neighbour: but a man of understanding holdeth his peace.
Prov 11:13 [הוֹלֵךְ] [רָכִיל] [מְגַלֶּה] [ּוֹד] [וְנֶאֱמַן] spirit/wind [מְכֶַּה] [דָבָר] | [KJV:] A talebearer revealeth secrets: but he that is of a faithful spirit concealeth the matter.
Prov 11:14 [בְּאֵין] [תַּחְבֻּלוֹת] [יִָּל] people [וּתְשׁוּעָה] [בְּרֹב] [יוֹעֵץ] | [KJV:] Where no counsel is, the people fall: but in the multitude of counsellors there is safety.
Prov 11:15 bad [יֵרוֹעַ] [כִּי] [עָרַב] [זָר] [וְשֹׂנֵא] [תֹקְעִים] [בּוֹטֵחַ] | [KJV:] He that is surety for a stranger shall smart for it: and he that hateth suretiship is sure.
Prov 11:16 [אֵשֶׁת] grace [תִּתְמֹךְ] [כָּבוֹד] [וְעָרִיצִים] [יִתְמְכוּ] [עֹשֶׁר] | [KJV:] A gracious woman retaineth honour: and strong men retain riches.
Prov 11:17 [גֹּמֵל] [נְַשׁוֹ] man [חֶָד] [וְעֹכֵר] [שְׁאֵרוֹ] [אַכְזָרִי] | [KJV:] The merciful man doeth good to his own soul: but he that is cruel troubleth his own flesh.
Prov 11:18 [רָשָׁע] [עֹשֶׂה] [ְעֻלַּת] [שָׁקֶר] [וְזֹרֵעַ] [צְדָקָה] [שֶׂכֶר] truth | [KJV:] The wicked worketh a deceitful work: but to him that soweth righteousness shall be a sure reward.
Prov 11:19 [כֵּן] [צְדָקָה] [לְחַיִּים] [וּמְרַדֵּף] [רָעָה] [לְמוֹתוֹ] | [KJV:] As righteousness tendeth to life: so he that pursueth evil pursueth it to his own death.
Prov 11:20 [תּוֹעֲבַת] YHWH/[the] LORD [עִקְּשֵׁי] heart [וּרְצוֹנוֹ] [תְּמִימֵי] [דָרֶךְ] | [KJV:] They that are of a froward heart are abomination to the Lord: but such as are upright in their way are his delight.
Prov 11:21 hand [לְיָד] not [יִנָּקֶה] [רָּע] [וְזֶרַע] [צַדִּיקִים] [נִמְלָט] | [KJV:] Though hand join in hand, the wicked shall not be unpunished: but the seed of the righteous shall be delivered.
Prov 11:22 [נֶזֶם] gold [בְּאַף] [חֲזִיר] [אִשָּׁה] [יָָה] [וְָרַת] [טָעַם] | [KJV:] As a jewel of gold in a swine's snout, so is a fair woman which is without discretion.
Prov 11:23 [תַּאֲוַת] [צַדִּיקִים] only/however good [תִּקְוַת] [רְשָׁעִים] [עֶבְרָה] | [KJV:] The desire of the righteous is only good: but the expectation of the wicked is wrath.
Prov 11:24 [יֵשׁ] [מְַזֵּר] [וְנוָֹף] still/yet [וְחוֹשֵׂךְ] [מִיֹּשֶׁר] only/however [לְמַחְוֹר] | [KJV:] There is that scattereth, and yet increaseth; and there is that withholdeth more than is meet, but it tendeth to poverty.
Prov 11:25 [נֶֶשׁ] [בְּרָכָה] [תְדֻשָּׁן] [וּמַרְוֶה] [גַּם] he [יוֹרֶא] | [KJV:] The liberal soul shall be made fat: and he that watereth shall be watered also himself.
Prov 11:26 [מֹנֵעַ] [בָּר] [יִקְּבֻהוּ] [לְאוֹם] [וּבְרָכָה] [לְרֹאשׁ] [מַשְׁבִּיר] | [KJV:] He that withholdeth corn, the people shall curse him: but blessing shall be upon the head of him that selleth it.
Prov 11:27 [שֹׁחֵר] good [יְבַקֵּשׁ] [רָצוֹן] [וְדֹרֵשׁ] [רָעָה] [תְבוֹאֶנּוּ] | [KJV:] He that diligently seeketh good procureth favour: but he that seeketh mischief, it shall come unto him.
Prov 11:28 [בּוֹטֵחַ] [בְּעָשְׁרוֹ] he [יִֹּל] [וְכֶעָלֶה] [צַדִּיקִים] [יְִרָחוּ] | [KJV:] He that trusteth in his riches shall fall; but the righteous shall flourish as a branch.
Prov 11:29 [עוֹכֵר] [בֵּיתוֹ] [יִנְחַל] spirit/wind [וְעֶבֶד] [אֱוִיל] [לַחֲכַם] heart | [KJV:] He that troubleth his own house shall inherit the wind: and the fool shall be servant to the wise of heart.
Prov 11:30 [ְּרִי] [צַדִּיק] tree [חַיִּים] [וְלֹקֵחַ] [נְָשׂוֹת] wise | [KJV:] The fruit of the righteous is a tree of life; and he that winneth souls is wise.
Prov 11:31 [הֵן] [צַדִּיק] [בָּאָרֶץ] [יְשֻׁלָּם] [אַף] [כִּי] [רָשָׁע] [וְחוֹטֵא] | [KJV:] Behold, the righteous shall be recompensed in the earth: much more the wicked and the sinner.
Prov 12:1 [אֹהֵב] [מוָּר] [אֹהֵב] [דָּעַת] [וְשֹׂנֵא] [תוֹכַחַת] [בָּעַר] | [KJV:] Whoso loveth instruction loveth knowledge: but he that hateth reproof is brutish.
Prov 12:2 good [יִָיק] [רָצוֹן] [מֵיְהוָה] and a man [מְזִמּוֹת] [יַרְשִׁיעַ] | [KJV:] A good man obtaineth favour of the Lord: but a man of wicked devices will he condemn.
Prov 12:3 not [יִכּוֹן] man/mankind [בְּרֶשַׁע] [וְשֹׁרֶשׁ] [צַדִּיקִים] [בַּל] [יִמּוֹט] | [KJV:] A man shall not be established by wickedness: but the root of the righteous shall not be moved.
Prov 12:4 [אֵשֶׁת] [חַיִל] [עֲטֶרֶת] [בַּעְלָהּ] [וּכְרָקָב] [בְּעַצְמוֹתָיו] [מְבִישָׁה] | [KJV:] A virtuous woman is a crown to her husband: but she that maketh ashamed is as rottenness in his bones.
Prov 12:5 [מַחְשְׁבוֹת] [צַדִּיקִים] [מִשְָּׁט] [תַּחְבֻּלוֹת] [רְשָׁעִים] [מִרְמָה] | [KJV:] The thoughts of the righteous are right: but the counsels of the wicked are deceit.
Prov 12:6 [דִּבְרֵי] [רְשָׁעִים] [אֱרָב] [דָּם] [וִּי] [יְשָׁרִים] [יַצִּילֵם] | [KJV:] The words of the wicked are to lie in wait for blood: but the mouth of the upright shall deliver them.
Prov 12:7 [הָוֹךְ] [רְשָׁעִים] [וְאֵינָם] [וּבֵית] [צַדִּיקִים] he will stand | [KJV:] The wicked are overthrown, and are not: but the house of the righteous shall stand.
Prov 12:8 [לְִי] [שִׂכְלוֹ] [יְהֻלַּל] man [וְנַעֲוֵה] heart he will be [לָבוּז]
Prov 12:9 good [נִקְלֶה] [וְעֶבֶד] to him [מִמְּתַכַּבֵּד] [וַחֲַר] [לָחֶם] | [KJV:] He that is despised, and hath a servant, is better than he that honoureth himself, and lacketh bread.
Prov 12:10 [he] knows [צַדִּיק] [נֶֶשׁ] [בְּהֶמְתּוֹ] [וְרַחֲמֵי] [רְשָׁעִים] [אַכְזָרִי] | [KJV:] A righteous man regardeth the life of his beast: but the tender mercies of the wicked are cruel.
Prov 12:11 [עֹבֵד] [אַדְמָתוֹ] [יִשְׂבַּע] [לָחֶם] [וּמְרַדֵּף] [רֵיקִים] [חֲַר] heart | [KJV:] He that tilleth his land shall be satisfied with bread: but he that followeth vain persons is void of understanding.
Prov 12:12 [חָמַד] [רָשָׁע] [מְצוֹד] [רָעִים] [וְשֹׁרֶשׁ] [צַדִּיקִים] [יִתֵּן] | [KJV:] The wicked desireth the net of evil men: but the root of the righteous yieldeth fruit.
Prov 12:13 [בְֶּשַׁע] [שְָׂתַיִם] [מוֹקֵשׁ] [רָע] [וַיֵּצֵא] [מִצָּרָה] [צַדִּיק] | [KJV:] The wicked is snared by the transgression of his lips: but the just shall come out of trouble.
Prov 12:14 [מְִּרִי] [ִי] man [יִשְׂבַּע] good [וּגְמוּל] [יְדֵי] man/mankind [יָשׁוּב] to him
Prov 12:15 [דֶּרֶךְ] [אֱוִיל] [יָשָׁר] [בְּעֵינָיו] [וְשֹׁמֵעַ] [לְעֵצָה] wise | [KJV:] The way of a fool is right in his own eyes: but he that hearkeneth unto counsel is wise.
Prov 12:16 [אֱוִיל] [בַּיּוֹם] [יִוָּדַע] [כַּעְוֹ] [וְכֶֹה] [קָלוֹן] [עָרוּם] | [KJV:] A fool's wrath is presently known: but a prudent man covereth shame.
Prov 12:17 [יִָיחַ] [אֱמוּנָה] [יַגִּיד] righteousness [וְעֵד] [שְׁקָרִים] [מִרְמָה] | [KJV:] He that speaketh truth sheweth forth righteousness: but a false witness deceit.
Prov 12:18 [יֵשׁ] [בּוֹטֶה] [כְּמַדְקְרוֹת] sword [וּלְשׁוֹן] [חֲכָמִים] [מַרְֵּא] | [KJV:] There is that speaketh like the piercings of a sword: but the tongue of the wise is health.
Prov 12:19 [שְַׂת] truth [תִּכּוֹן] [לָעַד] and until [אַרְגִּיעָה] [לְשׁוֹן] [שָׁקֶר] | [KJV:] The lip of truth shall be established for ever: but a lying tongue is but for a moment.
Prov 12:20 [מִרְמָה] [בְּלֶב] [חֹרְשֵׁי] [רָע] [וּלְיֹעֲצֵי] [שָׁלוֹם] [שִׂמְחָה] | [KJV:] Deceit is in the heart of them that imagine evil: but to the counsellors of peace is joy.
Prov 12:21 not [יְאֻנֶּה] [לַצַּדִּיק] [כָּל] [אָוֶן] [וּרְשָׁעִים] [מָלְאוּ] [רָע] | [KJV:] There shall no evil happen to the just: but the wicked shall be filled with mischief.
Prov 12:22 [תּוֹעֲבַת] YHWH/[the] LORD [שְִׂתֵי] [שָׁקֶר] [וְעֹשֵׂי] [אֱמוּנָה] [רְצוֹנוֹ] | [KJV:] Lying lips are abomination to the Lord: but they that deal truly are his delight.
Prov 12:23 man/mankind [עָרוּם] [כֶֹּה] [דָּעַת] [וְלֵב] [כְִּילִים] [יִקְרָא] [אִוֶּלֶת] | [KJV:] A prudent man concealeth knowledge: but the heart of fools proclaimeth foolishness.
Prov 12:24 hand [חָרוּצִים] [תִּמְשׁוֹל] [וּרְמִיָּה] [תִּהְיֶה] [לָמַ] | [KJV:] The hand of the diligent shall bear rule: but the slothful shall be under tribute.
Prov 12:25 [דְּאָגָה] [בְלֶב] man [יַשְׁחֶנָּה] [וְדָבָר] good [יְשַׂמְּחֶנָּה] | [KJV:] Heaviness in the heart of man maketh it stoop: but a good word maketh it glad.
Prov 12:26 [יָתֵר] [מֵרֵעֵהוּ] [צַדִּיק] [וְדֶרֶךְ] [רְשָׁעִים] [תַּתְעֵם] | [KJV:] The righteous is more excellent than his neighbour: but the way of the wicked seduceth them.
Prov 12:27 not [יַחֲרֹךְ] [רְמִיָּה] [צֵידוֹ] [וְהוֹן] man/mankind [יָקָר] [חָרוּץ] | [KJV:] The slothful man roasteth not that which he took in hunting: but the substance of a diligent man is precious.
Prov 12:28 [בְּאֹרַח] [צְדָקָה] [חַיִּים] [וְדֶרֶךְ] [נְתִיבָה] not [imperative] [מָוֶת] | [KJV:] In the way of righteousness is life: and in the pathway thereof there is no death.
Prov 13:1 [בֵּן] wise [מוַּר] father [וְלֵץ] not [שָׁמַע] [גְּעָרָה] | [KJV:] A wise son heareth his father's instruction: but a scorner heareth not rebuke.
Prov 13:2 [מְִּרִי] [ִי] man [יֹאכַל] good [וְנֶֶשׁ] [בֹּגְדִים] [חָמָ] | [KJV:] A man shall eat good by the fruit of his mouth: but the soul of the transgressors shall eat violence.
Prov 13:3 [נֹצֵר] [ִּיו] [שֹׁמֵר] [נְַשׁוֹ] [ֹּשֵׂק] [שְָׂתָיו] [מְחִתָּה] to him | [KJV:] He that keepeth his mouth keepeth his life: but he that openeth wide his lips shall have destruction.
